taxa	clade
A_chicken_Israel_310076_2018	G1-B
A_chicken_Israel_312206_2018	G1-B
A_chicken_Israel_308917_2018	G1-B
A_chicken_Israel_308025_2018	G1-B
A_chicken_Israel_308727_2018	G1-B
A_chicken_Israel_302110_2018	G1-B
A_chicken_Israel_302005_2018	G1-B
A_chicken_Israel_303295_2018	G1-B
A_chicken_Israel_302282_2018	G1-B
A_chicken_Israel_303214_2018	G1-B
A_chicken_Israel_292871_2018	G1-B
A_chicken_Israel_293697_2018	G1-B
A_chicken_Israel_299202_2018	G1-B
A_chicken_Israel_299994_2018	G1-B
A_chicken_Israel_304604_2018	G1-B
A_chicken_Israel_296498_2018	G1-B
A_chicken_Israel_297401_2018	G1-B
A_chicken_Israel_295951_2018	G1-B
A_chicken_Israel_292862_2018	G1-B
A_chicken_Israel_294570_2018	G1-B
A_chicken_Israel_292894_2018	G1-B
A_chicken_Israel_291417_2017	G1-B
A_chicken_Israel_293830_2018	G1-B
A_chicken_Israel_292863_2018	G1-B
A_chicken_Israel_305500_2018	G1-B
A_chicken_Israel_296739_2018	G1-B
A_chicken_Israel_292334_2017	G1-B
A_chicken_Israel_280662_2017	G1-B
A_chicken_Israel_451_2016	G1-B
A_chicken_Israel_199_2014	G1-B
A_chicken_Israel_642_2013	G1-B
A_chicken_Israel_290474_2017	G1-B
A_chicken_Israel_292124_2017	G1-B
A_chicken_Israel_291337_2017	G1-B
A_chicken_Israel_289078_2017	G1-B
A_chicken_Israel_293087_2018	G1-B
A_chicken_Israel_292435_2017	G1-B
A_chicken_Israel_130_2016	G1-B
A_chicken_Israel_45_2014	G1-B
A_chicken_Israel_636_2013	G1-B
A_chicken_Israel_626_2013	G1-B
A_chicken_Israel_509_2013	G1-B
A_chicken_Israel_502_2013	G1-B
A_chicken_Israel_203_2014	G1-B
A_chicken_Israel_11_2016	G1-B
A_turkey_Israel_182_2014	G1-B
A_chicken_Israel_1115_2011	G1-B
A_chicken_Israel_1089_2011	G1-B
A_chicken_Israel_46_2012	G1-B
A_chicken_Israel_11_2012	G1-B
A_chicken_Israel_130_2014	G1-B
A_white_bellied_bustard_United_Arab_Emirates_D1520_2011	G1-B
A_pheasant_United_Arab_Emirates_D1307_B_2011	G1-B
A_pheasant_United_Arab_Emirates_D1521_2011	G1-B
A_chicken_Saudi_Arabia_H29TR_2011	G1-B
A_chicken_United_Arab_Emirates_F1P7_2011	G1-B
A_chicken_Uganda_MUWRP-822_2018	G1-B
A_chicken_Uganda_MUWRP-773_2017	G1-B
A_chicken_Uganda_MUWRP-751_2017	G1-B
A_chicken_Uganda_MUWRP-791_2017	G1-B
A_chicken_Uganda_MUWRP-742_2017	G1-B
A_chicken_Uganda_MUWRP-737_2017	G1-B
A_chicken_Uganda_MUWRP-805_2017	G1-B
A_chicken_Uganda_MUWRP-789_2017	G1-B
A_chicken_Uganda_MUWRP-739_2017	G1-B
A_chicken_Uganda_MUWRP-718_2017	G1-B
A_chicken_Uganda_MUWRP-200168_2017	G1-B
A_chicken_Uganda_MUWRP-201240_2017	G1-B
A_chicken_Uganda_MUWRP-201231_2017	G1-B
A_chicken_Uganda_MUWRP-201236_2017	G1-B
A_chicken_Uganda_MUWRP-782_2017	G1-B
A_chicken_Uganda_MUWRP-790_2017	G1-B
A_chicken_Uganda_MUWRP-756_2017	G1-B
A_chicken_Uganda_MUWRP-811_2017	G1-B
A_chicken_Uganda_MUWRP-767_2017	G1-B
A_chicken_Uganda_MUWRP-815_2018	G1-B
A_chicken_Uganda_MUWRP-796_2017	G1-B
A_chicken_Uganda_MUWRP-814_2018	G1-B
A_chicken_Uganda_MUWRP-200156_2017	G1-B
A_chicken_Uganda_MUWRP-201249_2017	G1-B
A_chicken_Uganda_MUWRP-201214_2017	G1-B
A_chicken_Uganda_MUWRP-201193_2017	G1-B
A_chicken_Uganda_MUWRP-201204_2017	G1-B
A_chicken_Uganda_MUWRP-201191_2017	G1-B
A_chicken_Uganda_MUWRP-712_2017	G1-B
A_chicken_Uganda_MUWRP-765_2017	G1-B
A_chicken_Uganda_MUWRP-713_2017	G1-B
A_chicken_Uganda_MUWRP-716_2017	G1-B
A_chicken_Uganda_MUWRP-200182_2017	G1-B
A_chicken_Uganda_MUWRP-200194_2017	G1-B
A_chicken_Uganda_MUWRP-200188_2017	G1-B
A_chicken_Uganda_MUWRP-200192_2017	G1-B
A_chicken_Uganda_MUWRP-201203_2017	G1-B
A_chicken_Uganda_MUWRP-201205_2017	G1-B
A_chicken_Uganda_MUWRP-201208_2017	G1-B
A_chicken_Kenya_A70-1403_2017	G1-B
A_chicken_Kenya_A71-1404_2017	G1-B
A_chicken_Kenya_A69-1402_2017	G1-B
A_chicken_Uganda_MUWRP-201201_2017	G1-B
A_chicken_Uganda_MUWRP-200162_2017	G1-B
A_chicken_Uganda_MUWRP-200199_2017	G1-B
A_chicken_Uganda_MUWRP-200207_2017	G1-B
A_chicken_Uganda_MUWRP-200161_2017	G1-B
A_chicken_Uganda_MUWRP-200157_2017	G1-B
A_chicken_Saudi_Arabia_C-36362_2010	G1-B
A_chicken_Saudi_Arabia_D-36363_2010	G1-B
A_chicken_Qatar_4576-4_2008	G1-B
A_chicken_Dubai_09vir3771-2_2008	G1-B
